MODEL,PROVIDER,SUCCESS,PERFORMANCE_RANK,CLUSTER_ID,CLUSTER_TITLE,CLUSTER_MESSAGES,CLUSTER_PARTICIPANTS,COVERAGE_PERCENTAGE,TOTAL_CLUSTERS,AVG_CLUSTER_SIZE,MAX_CLUSTER_SIZE,MIN_CLUSTER_SIZE,TOTAL_MESSAGES_CLUSTERED,DURATION_SECONDS,TOTAL_COST_USD,INPUT_TOKENS,OUTPUT_TOKENS,CLUSTER_SIZE_RATIO,CLUSTER_EFFICIENCY_SCORE,CLUSTER_QUALITY_GRADE,PROJECT_TOPIC,CLUSTER_TYPE,TEAM_SIZE,PROCESSING_SPEED_MSGS_PER_SEC,COST_PER_MESSAGE,COST_PER_CLUSTER,CLUSTER_DENSITY,CLUSTER_BALANCE_SCORE,OVERALL_MODEL_SCORE
google_gemini-2.5-flash,Google,True,1,1,EcoBloom Summer Campaign: Planning Revisions & Finalization,32,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,25.25,0.001419,13275,1411,0.96,0.89,A,EcoBloom Campaign,Planning,4,1.27,0.000007,0.000237,0.53,0.85,0.89
google_gemini-2.5-flash,Google,True,1,2,FitFusion Rebranding: Project Kickoff Legal & Tagline Approval,38,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,25.25,0.001419,13275,1411,1.14,0.94,A,FitFusion Rebranding,Rebranding,4,1.50,0.000007,0.000237,0.63,0.85,0.89
google_gemini-2.5-flash,Google,True,1,3,TechNova Product Launch: Planning & Budget Finalization,46,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,25.25,0.001419,13275,1411,1.38,0.98,A,TechNova Launch,Product Launch,4,1.82,0.000007,0.000237,0.77,0.85,0.89
google_gemini-2.5-flash,Google,True,1,4,GreenScape Sustainability Report: Development & Deadline Extension,44,"Devon; Leah; Sam; Jordan",66.67,6,33.33,46,15,200,25.25,0.001419,13275,1411,1.32,0.97,A,GreenScape Report,Sustainability,4,1.74,0.000007,0.000237,0.73,0.85,0.89
google_gemini-2.5-flash,Google,True,1,5,UrbanEdge Social Media Strategy Development,15,"Devon; Leah; Sam; Jordan",66.67,6,33.33,46,15,200,25.25,0.001419,13275,1411,0.45,0.75,B,UrbanEdge Strategy,Social Media,4,0.59,0.000007,0.000237,0.25,0.85,0.89
google_gemini-2.5-flash,Google,True,1,6,Q3 Content Calendar Development & Finalization,25,"Devon; Leah; Sam; Jordan",66.67,6,33.33,46,15,200,25.25,0.001419,13275,1411,0.75,0.82,B,Q3 Content Calendar,Content Planning,4,0.99,0.000007,0.000237,0.42,0.85,0.89
google_gemini-1.5-flash,Google,True,2,1,EcoBloom Summer Campaign,17,"Devon; Sam; Leah; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,0.85,0.78,B,EcoBloom Campaign,Planning,4,1.53,0.000007,0.000146,0.28,0.80,0.87
google_gemini-1.5-flash,Google,True,2,2,FitFusion Rebranding Project,15,"Devon; Sam; Leah; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,0.75,0.75,B,FitFusion Rebranding,Rebranding,4,1.35,0.000007,0.000146,0.25,0.80,0.87
google_gemini-1.5-flash,Google,True,2,3,TechNova Product Launch,15,"Devon; Sam; Leah; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,0.75,0.75,B,TechNova Launch,Product Launch,4,1.35,0.000007,0.000146,0.25,0.80,0.87
google_gemini-1.5-flash,Google,True,2,4,GreenScape Sustainability Report,15,"Devon; Leah; Sam; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,0.75,0.75,B,GreenScape Report,Sustainability,4,1.35,0.000007,0.000146,0.25,0.80,0.87
google_gemini-1.5-flash,Google,True,2,5,UrbanEdge Social Media Strategy,15,"Devon; Leah; Sam; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,0.75,0.75,B,UrbanEdge Strategy,Social Media,4,1.35,0.000007,0.000146,0.25,0.80,0.87
google_gemini-1.5-flash,Google,True,2,6,EcoBloom Campaign Revisions,15,"Devon; Sam; Leah; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,0.75,0.75,B,EcoBloom Campaign,Revisions,4,1.35,0.000007,0.000146,0.25,0.80,0.87
google_gemini-1.5-flash,Google,True,2,7,FitFusion Rebrand Legal Review,23,"Devon; Sam; Leah; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,1.15,0.88,A,FitFusion Rebranding,Legal Review,4,2.08,0.000007,0.000146,0.38,0.80,0.87
google_gemini-1.5-flash,Google,True,2,8,Q3 Content Calendar Development,25,"Devon; Leah; Sam; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,1.25,0.90,A,Q3 Content Calendar,Content Planning,4,2.26,0.000007,0.000146,0.42,0.80,0.87
google_gemini-1.5-flash,Google,True,2,9,TechNova Campaign Budget Finalization,31,"Devon; Sam; Leah; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,1.55,0.95,A,TechNova Launch,Budget Planning,4,2.80,0.000007,0.000146,0.52,0.80,0.87
google_gemini-1.5-flash,Google,True,2,10,GreenScape Deadline Extension,29,"Devon; Leah; Sam; Jordan",66.67,10,20.0,31,15,200,11.08,0.001461,13124,1590,1.45,0.93,A,GreenScape Report,Deadline Management,4,2.62,0.000007,0.000146,0.48,0.80,0.87
google_gemini-2.0-flash,Google,True,3,1,EcoBloom Summer Campaign Planning and Revisions,32,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,7.31,0.001468,13124,1614,0.96,0.89,A,EcoBloom Campaign,Planning,4,4.38,0.000007,0.000245,0.53,0.85,0.85
google_gemini-2.0-flash,Google,True,3,2,FitFusion Rebranding Project,38,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,7.31,0.001468,13124,1614,1.14,0.94,A,FitFusion Rebranding,Rebranding,4,5.20,0.000007,0.000245,0.63,0.85,0.85
google_gemini-2.0-flash,Google,True,3,3,TechNova Product Launch Campaign,46,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,7.31,0.001468,13124,1614,1.38,0.98,A,TechNova Launch,Product Launch,4,6.29,0.000007,0.000245,0.77,0.85,0.85
google_gemini-2.0-flash,Google,True,3,4,GreenScape Sustainability Report and Deadline Extension,44,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,7.31,0.001468,13124,1614,1.32,0.97,A,GreenScape Report,Sustainability,4,6.02,0.000007,0.000245,0.73,0.85,0.85
google_gemini-2.0-flash,Google,True,3,5,UrbanEdge Social Media Strategy,15,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,7.31,0.001468,13124,1614,0.45,0.75,B,UrbanEdge Strategy,Social Media,4,2.05,0.000007,0.000245,0.25,0.85,0.85
google_gemini-2.0-flash,Google,True,3,6,Q3 Content Calendar Development,25,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,7.31,0.001468,13124,1614,0.75,0.82,B,Q3 Content Calendar,Content Planning,4,3.42,0.000007,0.000245,0.42,0.85,0.85
xai_grok-2-1212,xAI,True,4,1,EcoBloom Summer Campaign Planning and Finalization,17,"@Devon; @Sam; @Leah; @Jordan",66.67,8,25.0,44,15,200,22.31,0.016714,12740,1987,0.68,0.72,B,EcoBloom Campaign,Planning,4,0.76,0.000084,0.002089,0.28,0.75,0.82
xai_grok-2-1212,xAI,True,4,2,FitFusion Rebranding Project Coordination,38,"@Devon; @Sam; @Leah; @Jordan",66.67,8,25.0,44,15,200,22.31,0.016714,12740,1987,1.52,0.96,A,FitFusion Rebranding,Rebranding,4,1.70,0.000084,0.002089,0.63,0.75,0.82
xai_grok-2-1212,xAI,True,4,3,TechNova Product Launch Planning,15,"@Devon; @Sam; @Leah; @Jordan",66.67,8,25.0,44,15,200,22.31,0.016714,12740,1987,0.60,0.70,B,TechNova Launch,Product Launch,4,0.67,0.000084,0.002089,0.25,0.75,0.82
xai_grok-2-1212,xAI,True,4,4,GreenScape Sustainability Report Coordination and Extension,44,"@Devon; @Sam; @Leah; @Jordan",66.67,8,25.0,44,15,200,22.31,0.016714,12740,1987,1.76,0.98,A,GreenScape Report,Sustainability,4,1.97,0.000084,0.002089,0.73,0.75,0.82
xai_grok-2-1212,xAI,True,4,5,UrbanEdge Social Media Strategy Development,15,"@Devon; @Sam; @Leah; @Jordan",66.67,8,25.0,44,15,200,22.31,0.016714,12740,1987,0.60,0.70,B,UrbanEdge Strategy,Social Media,4,0.67,0.000084,0.002089,0.25,0.75,0.82
xai_grok-2-1212,xAI,True,4,6,EcoBloom Campaign Design Revisions,15,"@Devon; @Sam; @Leah; @Jordan",66.67,8,25.0,44,15,200,22.31,0.016714,12740,1987,0.60,0.70,B,EcoBloom Campaign,Revisions,4,0.67,0.000084,0.002089,0.25,0.75,0.82
xai_grok-2-1212,xAI,True,4,7,Q3 Content Calendar Development,25,"@Devon; @Sam; @Leah; @Jordan",66.67,8,25.0,44,15,200,22.31,0.016714,12740,1987,1.00,0.80,B,Q3 Content Calendar,Content Planning,4,1.12,0.000084,0.002089,0.42,0.75,0.82
xai_grok-2-1212,xAI,True,4,8,TechNova Campaign Budget Finalization,31,"@Devon; @Sam; @Leah; @Jordan",66.67,8,25.0,44,15,200,22.31,0.016714,12740,1987,1.24,0.88,A,TechNova Launch,Budget Planning,4,1.39,0.000084,0.002089,0.52,0.75,0.82
xai_grok-3,xAI,True,5,1,EcoBloom Summer Campaign Planning and Revisions,32,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,26.43,0.027136,11588,990,0.96,0.89,A,EcoBloom Campaign,Planning,4,1.21,0.000136,0.004523,0.53,0.85,0.80
xai_grok-3,xAI,True,5,2,FitFusion Rebranding Project Coordination,38,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,26.43,0.027136,11588,990,1.14,0.94,A,FitFusion Rebranding,Rebranding,4,1.44,0.000136,0.004523,0.63,0.85,0.80
xai_grok-3,xAI,True,5,3,TechNova Smart Home Product Launch and Budget Planning,46,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,26.43,0.027136,11588,990,1.38,0.98,A,TechNova Launch,Product Launch,4,1.74,0.000136,0.004523,0.77,0.85,0.80
xai_grok-3,xAI,True,5,4,GreenScape Sustainability Report and Deadline Extension,44,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,26.43,0.027136,11588,990,1.32,0.97,A,GreenScape Report,Sustainability,4,1.66,0.000136,0.004523,0.73,0.85,0.80
xai_grok-3,xAI,True,5,5,UrbanEdge Social Media Strategy Development,15,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,26.43,0.027136,11588,990,0.45,0.75,B,UrbanEdge Strategy,Social Media,4,0.57,0.000136,0.004523,0.25,0.85,0.80
xai_grok-3,xAI,True,5,6,Q3 Content Calendar Development and Review,25,"Devon; Sam; Leah; Jordan",66.67,6,33.33,46,15,200,26.43,0.027136,11588,990,0.75,0.82,B,Q3 Content Calendar,Content Planning,4,0.95,0.000136,0.004523,0.42,0.85,0.80
openai_gpt-4o,OpenAI,True,13,1,EcoBloom Summer Campaign Planning,13,"@Devon; @Sam; @Leah; @Jordan",66.67,11,18.18,31,4,200,38.72,0.077700,11709,1277,0.72,0.74,B,EcoBloom Campaign,Planning,4,0.34,0.000389,0.007064,0.22,0.73,0.75
openai_gpt-4o,OpenAI,True,13,2,FitFusion Rebranding Project,15,"@Devon; @Sam; @Leah; @Jordan",66.67,11,18.18,31,4,200,38.72,0.077700,11709,1277,0.83,0.78,B,FitFusion Rebranding,Rebranding,4,0.39,0.000389,0.007064,0.25,0.73,0.75
openai_gpt-4o,OpenAI,True,13,3,TechNova Product Launch Planning,15,"@Devon; @Sam; @Leah; @Jordan",66.67,11,18.18,31,4,200,38.72,0.077700,11709,1277,0.83,0.78,B,TechNova Launch,Product Launch,4,0.39,0.000389,0.007064,0.25,0.73,0.75
openai_gpt-4o,OpenAI,True,13,4,GreenScape Sustainability Report,15,"@Devon; @Sam; @Leah; @Jordan",66.67,11,18.18,31,4,200,38.72,0.077700,11709,1277,0.83,0.78,B,GreenScape Report,Sustainability,4,0.39,0.000389,0.007064,0.25,0.73,0.75
openai_gpt-4o,OpenAI,True,13,5,UrbanEdge Social Media Strategy,15,"@Devon; @Sam; @Leah; @Jordan",66.67,11,18.18,31,4,200,38.72,0.077700,11709,1277,0.83,0.78,B,UrbanEdge Strategy,Social Media,4,0.39,0.000389,0.007064,0.25,0.73,0.75
openai_gpt-4o,OpenAI,True,13,6,EcoBloom Campaign Feedback and Revisions,15,"@Devon; @Sam; @Leah; @Jordan",66.67,11,18.18,31,4,200,38.72,0.077700,11709,1277,0.83,0.78,B,EcoBloom Campaign,Revisions,4,0.39,0.000389,0.007064,0.25,0.73,0.75
openai_gpt-4o,OpenAI,True,13,7,FitFusion Rebrand Legal and Tagline Review,23,"@Devon; @Sam; @Leah; @Jordan",66.67,11,18.18,31,4,200,38.72,0.077700,11709,1277,1.27,0.87,A,FitFusion Rebranding,Legal Review,4,0.59,0.000389,0.007064,0.38,0.73,0.75
openai_gpt-4o,OpenAI,True,13,8,Q3 Content Calendar Development,25,"@Devon; @Sam; @Leah; @Jordan",66.67,11,18.18,31,4,200,38.72,0.077700,11709,1277,1.38,0.90,A,Q3 Content Calendar,Content Planning,4,0.65,0.000389,0.007064,0.42,0.73,0.75
openai_gpt-4o,OpenAI,True,13,9,TechNova Campaign Budget Finalization,31,"@Devon; @Sam; @Leah; @Jordan",66.67,11,18.18,31,4,200,38.72,0.077700,11709,1277,1.71,0.95,A,TechNova Launch,Budget Planning,4,0.80,0.000389,0.007064,0.52,0.73,0.75
openai_gpt-4o,OpenAI,True,13,10,GreenScape Report Deadline Extension,29,"@Devon; @Sam; @Leah; @Jordan",66.67,11,18.18,31,4,200,38.72,0.077700,11709,1277,1.60,0.93,A,GreenScape Report,Deadline Management,4,0.75,0.000389,0.007064,0.48,0.73,0.75
openai_gpt-4o,OpenAI,True,13,11,Finalizing EcoBloom's Summer Campaign Designs,4,"@Devon; @Sam; @Leah; @Jordan",66.67,11,18.18,31,4,200,38.72,0.077700,11709,1277,0.22,0.65,C,EcoBloom Campaign,Final Design,4,0.10,0.000389,0.007064,0.07,0.73,0.75
openai_gpt-4,OpenAI,False,FAILED,0,N/A,0,N/A,0.0,0,0,0,0,0,13.45,0.000000,0,0,0.00,0.00,F,N/A,N/A,0,0.00,0.000000,0.000000,0.00,0.00,0.00
