MODEL,BENCHMARK_CLUSTER_ID,BENCHMARK_TITLE,BENCHMARK_MESSAGE_COUNT,LLM_CLUSTER_ID,LLM_TITLE,LLM_MESSAGE_COUNT,MATCHED_MESSAGES,MISSING_MESSAGES,EXTRA_MESSAGES,OVERLAP_PERCENTAGE,MESSAGE_COUNT_DEVIATION,COVERAGE_PERCENTAGE,PRECISION,RECALL,F1_SCORE
gemini-1.5-flash,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign: Planning & Revisions,44,44,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash,fitfusion_rebrand,FitFusion Rebranding,47,2,"FitFusion Rebranding Project: Design, Messaging & Legal",60,47,0,13,100.0,27.66,100.0,78.33,100.0,87.85
gemini-1.5-flash,technova_launch,TechNova Product Launch,68,3,"TechNova Product Launch: Campaign, Budget & Product Descriptions",68,68,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash,greenscape_report,GreenScape Sustainability Report,66,4,"GreenScape Sustainability Report: Content, Design & Legal",37,37,29,0,56.06,-43.94,56.06,100.0,56.06,71.84
gemini-1.5-flash,urbanedge_strategy,UrbanEdge Social Media Strategy,37,5,UrbanEdge Social Media Strategy & Market Research,37,37,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash,q3_content_calendar,Q3 Content Calendar,25,6,Q3 Content Calendar Development,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash-002,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign: Planning & Client Revisions,44,44,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash-002,fitfusion_rebrand,FitFusion Rebranding,47,2,"FitFusion Rebranding Project: Design, Messaging & Legal",60,47,0,13,100.0,27.66,100.0,78.33,100.0,87.85
gemini-1.5-flash-002,technova_launch,TechNova Product Launch,68,3,"TechNova Product Launch: Campaign, Budget & Product Descriptions",68,68,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash-002,greenscape_report,GreenScape Sustainability Report,66,4,"GreenScape Sustainability Report: Content, Design & Legal",37,37,29,0,56.06,-43.94,56.06,100.0,56.06,71.84
gemini-1.5-flash-002,urbanedge_strategy,UrbanEdge Social Media Strategy,37,5,UrbanEdge Social Media Strategy & Market Research,37,37,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash-002,q3_content_calendar,Q3 Content Calendar,25,6,Q3 Content Calendar Development,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash-8b,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign Project Updates and Revisions,44,44,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash-8b,fitfusion_rebrand,FitFusion Rebranding,47,6,FitFusion Brand Guidelines Project,45,32,15,13,68.09,-4.26,68.09,71.11,68.09,69.57
gemini-1.5-flash-8b,technova_launch,TechNova Product Launch,68,8,TechNova Budget Project,31,31,37,0,45.59,-54.41,45.59,100.0,45.59,62.63
gemini-1.5-flash-8b,greenscape_report,GreenScape Sustainability Report,66,4,GreenScape Sustainability Report Project,61,61,5,0,92.42,-7.58,92.42,100.0,92.42,96.06
gemini-1.5-flash-8b,urbanedge_strategy,UrbanEdge Social Media Strategy,37,5,UrbanEdge Social Media Strategy,15,15,22,0,40.54,-59.46,40.54,100.0,40.54,57.69
gemini-1.5-flash-8b,q3_content_calendar,Q3 Content Calendar,25,7,Q3 Content Calendar Project,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash-latest,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign: Planning & Revisions,44,44,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash-latest,fitfusion_rebrand,FitFusion Rebranding,47,2,"FitFusion Rebranding Project: Design, Messaging & Legal",60,47,0,13,100.0,27.66,100.0,78.33,100.0,87.85
gemini-1.5-flash-latest,technova_launch,TechNova Product Launch,68,3,"TechNova Product Launch: Campaign, Budget & Product Descriptions",68,68,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash-latest,greenscape_report,GreenScape Sustainability Report,66,4,"GreenScape Sustainability Report: Content, Design & Legal",37,37,29,0,56.06,-43.94,56.06,100.0,56.06,71.84
gemini-1.5-flash-latest,urbanedge_strategy,UrbanEdge Social Media Strategy,37,5,UrbanEdge Social Media Strategy & Market Research,37,37,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-flash-latest,q3_content_calendar,Q3 Content Calendar,25,6,Q3 Content Calendar Development,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-pro,eco_bloom_campaign,EcoBloom Campaign,44,11,EcoBloom Summer Campaign: Final Design Review and Client Submission,16,16,28,0,36.36,-63.64,36.36,100.0,36.36,53.33
gemini-1.5-pro,fitfusion_rebrand,FitFusion Rebranding,47,7,FitFusion Rebranding: Legal Review and Tagline Revisions,23,23,24,0,48.94,-51.06,48.94,100.0,48.94,65.71
gemini-1.5-pro,technova_launch,TechNova Product Launch,68,9,TechNova Product Launch Campaign Budget Finalization,31,31,37,0,45.59,-54.41,45.59,100.0,45.59,62.63
gemini-1.5-pro,greenscape_report,GreenScape Sustainability Report,66,10,GreenScape Sustainability Report Deadline Extension and Project Impact,29,29,37,0,43.94,-56.06,43.94,100.0,43.94,61.05
gemini-1.5-pro,urbanedge_strategy,UrbanEdge Social Media Strategy,37,15,UrbanEdge Market Expansion: Market Research and Compliance Review,22,22,15,0,59.46,-40.54,59.46,100.0,59.46,74.58
gemini-1.5-pro,q3_content_calendar,Q3 Content Calendar,25,8,Q3 Content Calendar Development and Planning,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-pro-002,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign,44,44,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-pro-002,fitfusion_rebrand,FitFusion Rebranding,47,2,FitFusion Rebranding Project,60,47,0,13,100.0,27.66,100.0,78.33,100.0,87.85
gemini-1.5-pro-002,technova_launch,TechNova Product Launch,68,3,TechNova Product Launch,68,68,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-pro-002,greenscape_report,GreenScape Sustainability Report,66,4,GreenScape Sustainability Report,66,66,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-pro-002,urbanedge_strategy,UrbanEdge Social Media Strategy,37,5,UrbanEdge Social Media Strategy and Market Research,37,37,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-pro-002,q3_content_calendar,Q3 Content Calendar,25,6,Q3 Content Calendar Planning,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-1.5-pro-latest,eco_bloom_campaign,EcoBloom Campaign,44,11,EcoBloom Summer Campaign: Final Design Review and Client Submission,16,16,28,0,36.36,-63.64,36.36,100.0,36.36,53.33
gemini-1.5-pro-latest,fitfusion_rebrand,FitFusion Rebranding,47,7,FitFusion Rebranding: Legal Review and Tagline Revisions,23,23,24,0,48.94,-51.06,48.94,100.0,48.94,65.71
gemini-1.5-pro-latest,technova_launch,TechNova Product Launch,68,9,TechNova Product Launch: Budget Planning and Finalization,31,31,37,0,45.59,-54.41,45.59,100.0,45.59,62.63
gemini-1.5-pro-latest,greenscape_report,GreenScape Sustainability Report,66,10,GreenScape Sustainability Report: Deadline Extension and Project Impact,29,29,37,0,43.94,-56.06,43.94,100.0,43.94,61.05
gemini-1.5-pro-latest,urbanedge_strategy,UrbanEdge Social Media Strategy,37,15,UrbanEdge Market Expansion: Market Research and Compliance Review,22,22,15,0,59.46,-40.54,59.46,100.0,59.46,74.58
gemini-1.5-pro-latest,q3_content_calendar,Q3 Content Calendar,25,8,Q3 Content Calendar Planning and Development,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-2.0-flash,eco_bloom_campaign,EcoBloom Campaign,44,11,EcoBloom Summer Campaign - Final Design Approval and Submission,16,16,28,0,36.36,-63.64,36.36,100.0,36.36,53.33
gemini-2.0-flash,fitfusion_rebrand,FitFusion Rebranding,47,7,FitFusion Rebranding - Legal Review and Tagline Approval,23,23,24,0,48.94,-51.06,48.94,100.0,48.94,65.71
gemini-2.0-flash,technova_launch,TechNova Product Launch,68,9,TechNova Product Launch - Budget Finalization,31,31,37,0,45.59,-54.41,45.59,100.0,45.59,62.63
gemini-2.0-flash,greenscape_report,GreenScape Sustainability Report,66,10,GreenScape Sustainability Report - Deadline Extension Approval and Timeline Adjustments,29,29,37,0,43.94,-56.06,43.94,100.0,43.94,61.05
gemini-2.0-flash,urbanedge_strategy,UrbanEdge Social Media Strategy,37,15,UrbanEdge Market Expansion - Market Research and Compliance Review,22,22,15,0,59.46,-40.54,59.46,100.0,59.46,74.58
gemini-2.0-flash,q3_content_calendar,Q3 Content Calendar,25,8,Q3 Content Calendar Development and Finalization,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-2.0-flash-001,eco_bloom_campaign,EcoBloom Campaign,44,11,EcoBloom Summer Campaign - Final Design Approval and Submission,16,16,28,0,36.36,-63.64,36.36,100.0,36.36,53.33
gemini-2.0-flash-001,fitfusion_rebrand,FitFusion Rebranding,47,7,FitFusion Rebranding - Legal Review and Tagline Approval,23,23,24,0,48.94,-51.06,48.94,100.0,48.94,65.71
gemini-2.0-flash-001,technova_launch,TechNova Product Launch,68,9,TechNova Product Launch - Budget Finalization,31,31,37,0,45.59,-54.41,45.59,100.0,45.59,62.63
gemini-2.0-flash-001,greenscape_report,GreenScape Sustainability Report,66,10,GreenScape Sustainability Report - Deadline Extension,29,29,37,0,43.94,-56.06,43.94,100.0,43.94,61.05
gemini-2.0-flash-001,urbanedge_strategy,UrbanEdge Social Media Strategy,37,15,UrbanEdge Market Expansion - Market Research and Compliance Review,22,22,15,0,59.46,-40.54,59.46,100.0,59.46,74.58
gemini-2.0-flash-001,q3_content_calendar,Q3 Content Calendar,25,8,Q3 Content Calendar Development and Finalization,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-2.0-flash-lite,eco_bloom_campaign,EcoBloom Campaign,44,11,EcoBloom Summer Campaign - Final Design Review and Client Submission,16,16,28,0,36.36,-63.64,36.36,100.0,36.36,53.33
gemini-2.0-flash-lite,fitfusion_rebrand,FitFusion Rebranding,47,7,FitFusion Rebrand - Trademark Review and Tagline Selection,23,23,24,0,48.94,-51.06,48.94,100.0,48.94,65.71
gemini-2.0-flash-lite,technova_launch,TechNova Product Launch,68,9,TechNova Product Launch - Budget Development and Finalization,31,31,37,0,45.59,-54.41,45.59,100.0,45.59,62.63
gemini-2.0-flash-lite,greenscape_report,GreenScape Sustainability Report,66,10,GreenScape Sustainability Report - Deadline Extension and Impact on Other Projects,29,29,37,0,43.94,-56.06,43.94,100.0,43.94,61.05
gemini-2.0-flash-lite,urbanedge_strategy,UrbanEdge Social Media Strategy,37,15,UrbanEdge Market Research - Development and Compliance Review,22,22,15,0,59.46,-40.54,59.46,100.0,59.46,74.58
gemini-2.0-flash-lite,q3_content_calendar,Q3 Content Calendar,25,8,Q3 Content Calendar Development and Finalization,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-2.0-flash-lite-001,eco_bloom_campaign,EcoBloom Campaign,44,11,EcoBloom Summer Campaign - Final Design Review and Submission,16,16,28,0,36.36,-63.64,36.36,100.0,36.36,53.33
gemini-2.0-flash-lite-001,fitfusion_rebrand,FitFusion Rebranding,47,7,FitFusion Rebrand - Trademark Review and Tagline Selection,23,23,24,0,48.94,-51.06,48.94,100.0,48.94,65.71
gemini-2.0-flash-lite-001,technova_launch,TechNova Product Launch,68,9,TechNova Product Launch - Budget Development and Finalization,31,31,37,0,45.59,-54.41,45.59,100.0,45.59,62.63
gemini-2.0-flash-lite-001,greenscape_report,GreenScape Sustainability Report,66,10,GreenScape Sustainability Report - Deadline Extension and Project Adjustments,29,29,37,0,43.94,-56.06,43.94,100.0,43.94,61.05
gemini-2.0-flash-lite-001,urbanedge_strategy,UrbanEdge Social Media Strategy,37,15,UrbanEdge Market Research - Development and Compliance Review,22,22,15,0,59.46,-40.54,59.46,100.0,59.46,74.58
gemini-2.0-flash-lite-001,q3_content_calendar,Q3 Content Calendar,25,8,Q3 Content Calendar Development and Finalization,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-2.5-flash-lite,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign Planning and Execution,29,29,15,0,65.91,-34.09,65.91,100.0,65.91,79.45
gemini-2.5-flash-lite,fitfusion_rebrand,FitFusion Rebranding,47,2,FitFusion Rebranding Project Management,60,47,0,13,100.0,27.66,100.0,78.33,100.0,87.85
gemini-2.5-flash-lite,technova_launch,TechNova Product Launch,68,3,TechNova Product Launch Campaign and Budget,46,46,22,0,67.65,-32.35,67.65,100.0,67.65,80.7
gemini-2.5-flash-lite,greenscape_report,GreenScape Sustainability Report,66,4,GreenScape Sustainability Report and Data Visualizations,66,66,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-2.5-flash-lite,urbanedge_strategy,UrbanEdge Social Media Strategy,37,5,UrbanEdge Social Media Strategy and Market Research,37,37,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-2.5-flash-lite,q3_content_calendar,Q3 Content Calendar,25,6,Q3 Content Calendar Development,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-2.5-pro,eco_bloom_campaign,EcoBloom Campaign,44,1,"EcoBloom Summer Campaign: Planning, Revisions, and Final Submission",44,44,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-2.5-pro,fitfusion_rebrand,FitFusion Rebranding,47,2,"FitFusion Rebranding Project: Kickoff, Legal Review, and Brand Guidelines",60,47,0,13,100.0,27.66,100.0,78.33,100.0,87.85
gemini-2.5-pro,technova_launch,TechNova Product Launch,68,3,"TechNova Product Launch: Planning, Budgeting, and Product Descriptions",68,68,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-2.5-pro,greenscape_report,GreenScape Sustainability Report,66,4,"GreenScape Sustainability Report: Planning, Deadline Extension, and Data Visualization",66,66,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-2.5-pro,urbanedge_strategy,UrbanEdge Social Media Strategy,37,5,UrbanEdge Market Expansion: Social Media Strategy and Market Research,37,37,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemini-2.5-pro,q3_content_calendar,Q3 Content Calendar,25,6,Internal Q3 Content Calendar Planning,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gemma-3-12b-it,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign - Initial Planning & Deadlines,13,13,31,0,29.55,-70.45,29.55,100.0,29.55,45.61
gemma-3-12b-it,fitfusion_rebrand,FitFusion Rebranding,47,2,FitFusion Rebranding Project - Kickoff & Timeline,15,15,32,0,31.91,-68.09,31.91,100.0,31.91,48.39
gemma-3-12b-it,technova_launch,TechNova Product Launch,68,3,TechNova Product Launch - Strategy & Timeline,15,15,53,0,22.06,-77.94,22.06,100.0,22.06,36.14
gemma-3-12b-it,greenscape_report,GreenScape Sustainability Report,66,4,GreenScape Sustainability Report - Client Collaboration,15,15,51,0,22.73,-77.27,22.73,100.0,22.73,37.04
gemma-3-12b-it,urbanedge_strategy,UrbanEdge Social Media Strategy,37,5,UrbanEdge Social Media Strategy - Development & Legal Review,15,15,22,0,40.54,-59.46,40.54,100.0,40.54,57.69
gemma-3-12b-it,q3_content_calendar,Q3 Content Calendar,25,N/A,N/A,0,0,25,0,0.0,-100.0,0.0,0.0,0.0,0.0
gemma-3-1b-it,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign Planning,5,5,39,0,11.36,-88.64,11.36,100.0,11.36,20.41
gemma-3-1b-it,fitfusion_rebrand,FitFusion Rebranding,47,4,EcoBloom Sustainability Report,5,5,42,0,10.64,-89.36,10.64,100.0,10.64,19.23
gemma-3-1b-it,technova_launch,TechNova Product Launch,68,N/A,N/A,0,0,68,0,0.0,-100.0,0.0,0.0,0.0,0.0
gemma-3-1b-it,greenscape_report,GreenScape Sustainability Report,66,N/A,N/A,0,0,66,0,0.0,-100.0,0.0,0.0,0.0,0.0
gemma-3-1b-it,urbanedge_strategy,UrbanEdge Social Media Strategy,37,N/A,N/A,0,0,37,0,0.0,-100.0,0.0,0.0,0.0,0.0
gemma-3-1b-it,q3_content_calendar,Q3 Content Calendar,25,N/A,N/A,0,0,25,0,0.0,-100.0,0.0,0.0,0.0,0.0
gemma-3-27b-it,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign - Initial Planning & Timelines,13,13,31,0,29.55,-70.45,29.55,100.0,29.55,45.61
gemma-3-27b-it,fitfusion_rebrand,FitFusion Rebranding,47,2,FitFusion Rebranding Project - Initial Planning & Timelines,15,15,32,0,31.91,-68.09,31.91,100.0,31.91,48.39
gemma-3-27b-it,technova_launch,TechNova Product Launch,68,3,TechNova Product Launch - Initial Planning & Timelines,15,15,53,0,22.06,-77.94,22.06,100.0,22.06,36.14
gemma-3-27b-it,greenscape_report,GreenScape Sustainability Report,66,4,GreenScape Sustainability Report - Planning & Execution,15,15,51,0,22.73,-77.27,22.73,100.0,22.73,37.04
gemma-3-27b-it,urbanedge_strategy,UrbanEdge Social Media Strategy,37,5,UrbanEdge Social Media Strategy - Planning & Execution,15,15,22,0,40.54,-59.46,40.54,100.0,40.54,57.69
gemma-3-27b-it,q3_content_calendar,Q3 Content Calendar,25,N/A,N/A,0,0,25,0,0.0,-100.0,0.0,0.0,0.0,0.0
gemma-3-4b-it,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign Kickoff & Initial Planning,8,8,36,0,18.18,-81.82,18.18,100.0,18.18,30.77
gemma-3-4b-it,fitfusion_rebrand,FitFusion Rebranding,47,3,FitFusion Rebranding Project - Initial Brief,6,5,42,1,10.64,-87.23,10.64,83.33,10.64,18.87
gemma-3-4b-it,technova_launch,TechNova Product Launch,68,7,TechNova Product Launch - Initial Brief,3,3,65,0,4.41,-95.59,4.41,100.0,4.41,8.45
gemma-3-4b-it,greenscape_report,GreenScape Sustainability Report,66,14,GreenScape Sustainability Report - Content & Design Development,6,6,60,0,9.09,-90.91,9.09,100.0,9.09,16.67
gemma-3-4b-it,urbanedge_strategy,UrbanEdge Social Media Strategy,37,N/A,N/A,0,0,37,0,0.0,-100.0,0.0,0.0,0.0,0.0
gemma-3-4b-it,q3_content_calendar,Q3 Content Calendar,25,N/A,N/A,0,0,25,0,0.0,-100.0,0.0,0.0,0.0,0.0
gemma-3n-e2b-it,eco_bloom_campaign,EcoBloom Campaign,44,3,UrbanEdge Social Media Strategy,48,13,31,35,29.55,9.09,29.55,27.08,29.55,28.26
gemma-3n-e2b-it,fitfusion_rebrand,FitFusion Rebranding,47,2,FitFusion Rebrand Project,20,15,32,5,31.91,-57.45,31.91,75.0,31.91,44.78
gemma-3n-e2b-it,technova_launch,TechNova Product Launch,68,3,UrbanEdge Social Media Strategy,48,5,63,43,7.35,-29.41,7.35,10.42,7.35,8.62
gemma-3n-e2b-it,greenscape_report,GreenScape Sustainability Report,66,3,UrbanEdge Social Media Strategy,48,15,51,33,22.73,-27.27,22.73,31.25,22.73,26.32
gemma-3n-e2b-it,urbanedge_strategy,UrbanEdge Social Media Strategy,37,3,UrbanEdge Social Media Strategy,48,15,22,33,40.54,29.73,40.54,31.25,40.54,35.29
gemma-3n-e2b-it,q3_content_calendar,Q3 Content Calendar,25,N/A,N/A,0,0,25,0,0.0,-100.0,0.0,0.0,0.0,0.0
gemma-3n-e4b-it,eco_bloom_campaign,EcoBloom Campaign,44,2,EcoBloom Rebrand Project,81,21,23,60,47.73,84.09,47.73,25.93,47.73,33.6
gemma-3n-e4b-it,fitfusion_rebrand,FitFusion Rebranding,47,2,EcoBloom Rebrand Project,81,15,32,66,31.91,72.34,31.91,18.52,31.91,23.44
gemma-3n-e4b-it,technova_launch,TechNova Product Launch,68,2,EcoBloom Rebrand Project,81,15,53,66,22.06,19.12,22.06,18.52,22.06,20.13
gemma-3n-e4b-it,greenscape_report,GreenScape Sustainability Report,66,2,EcoBloom Rebrand Project,81,15,51,66,22.73,22.73,22.73,18.52,22.73,20.41
gemma-3n-e4b-it,urbanedge_strategy,UrbanEdge Social Media Strategy,37,2,EcoBloom Rebrand Project,81,15,22,66,40.54,118.92,40.54,18.52,40.54,25.42
gemma-3n-e4b-it,q3_content_calendar,Q3 Content Calendar,25,N/A,N/A,0,0,25,0,0.0,-100.0,0.0,0.0,0.0,0.0
gpt-4o,eco_bloom_campaign,EcoBloom Campaign,44,11,EcoBloom Final Design Submission,16,16,28,0,36.36,-63.64,36.36,100.0,36.36,53.33
gpt-4o,fitfusion_rebrand,FitFusion Rebranding,47,7,FitFusion Rebranding Legal and Tagline Adjustments,23,23,24,0,48.94,-51.06,48.94,100.0,48.94,65.71
gpt-4o,technova_launch,TechNova Product Launch,68,9,TechNova Campaign Budget Finalization,31,31,37,0,45.59,-54.41,45.59,100.0,45.59,62.63
gpt-4o,greenscape_report,GreenScape Sustainability Report,66,10,GreenScape Sustainability Report Deadline Extension,29,29,37,0,43.94,-56.06,43.94,100.0,43.94,61.05
gpt-4o,urbanedge_strategy,UrbanEdge Social Media Strategy,37,15,UrbanEdge Market Research for Expansion,22,22,15,0,59.46,-40.54,59.46,100.0,59.46,74.58
gpt-4o,q3_content_calendar,Q3 Content Calendar,25,8,Q3 Content Calendar Development,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gpt-5,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign Kickoff and Scheduling,44,44,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gpt-5,fitfusion_rebrand,FitFusion Rebranding,47,2,FitFusion Rebrand Kickoff and Timeline Planning,60,47,0,13,100.0,27.66,100.0,78.33,100.0,87.85
gpt-5,technova_launch,TechNova Product Launch,68,3,TechNova Product Launch Kickoff and Milestones,68,68,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gpt-5,greenscape_report,GreenScape Sustainability Report,66,4,GreenScape Sustainability Report Kickoff and Timeline,66,66,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gpt-5,urbanedge_strategy,UrbanEdge Social Media Strategy,37,7,FitFusion Trademark Review and Tagline Selection,22,22,15,0,59.46,-40.54,59.46,100.0,59.46,74.58
gpt-5,q3_content_calendar,Q3 Content Calendar,25,6,EcoBloom Campaign Revisions After Client Feedback,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
grok-2-1212,eco_bloom_campaign,EcoBloom Campaign,44,11,EcoBloom Summer Campaign Finalization,16,16,28,0,36.36,-63.64,36.36,100.0,36.36,53.33
grok-2-1212,fitfusion_rebrand,FitFusion Rebranding,47,7,FitFusion Rebranding Legal Review,23,23,24,0,48.94,-51.06,48.94,100.0,48.94,65.71
grok-2-1212,technova_launch,TechNova Product Launch,68,9,TechNova Budget Finalization,31,31,37,0,45.59,-54.41,45.59,100.0,45.59,62.63
grok-2-1212,greenscape_report,GreenScape Sustainability Report,66,10,GreenScape Sustainability Report Deadline Extension,29,29,37,0,43.94,-56.06,43.94,100.0,43.94,61.05
grok-2-1212,urbanedge_strategy,UrbanEdge Social Media Strategy,37,15,UrbanEdge Market Research Development,22,22,15,0,59.46,-40.54,59.46,100.0,59.46,74.58
grok-2-1212,q3_content_calendar,Q3 Content Calendar,25,8,Q3 Content Calendar Development,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
grok-2-vision-1212,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign Development,29,29,15,0,65.91,-34.09,65.91,100.0,65.91,79.45
grok-2-vision-1212,fitfusion_rebrand,FitFusion Rebranding,47,2,FitFusion Rebranding Project,38,38,9,0,80.85,-19.15,80.85,100.0,80.85,89.41
grok-2-vision-1212,technova_launch,TechNova Product Launch,68,3,TechNova Product Launch Preparation,68,68,0,0,100.0,0.0,100.0,100.0,100.0,100.0
grok-2-vision-1212,greenscape_report,GreenScape Sustainability Report,66,4,GreenScape Sustainability Report Development,66,66,0,0,100.0,0.0,100.0,100.0,100.0,100.0
grok-2-vision-1212,urbanedge_strategy,UrbanEdge Social Media Strategy,37,5,UrbanEdge Market Expansion Research,37,37,0,0,100.0,0.0,100.0,100.0,100.0,100.0
grok-2-vision-1212,q3_content_calendar,Q3 Content Calendar,25,7,Q3 Content Calendar Development,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
grok-3,eco_bloom_campaign,EcoBloom Campaign,44,1,EcoBloom Summer Campaign Planning and Execution,44,44,0,0,100.0,0.0,100.0,100.0,100.0,100.0
grok-3,fitfusion_rebrand,FitFusion Rebranding,47,2,FitFusion Rebranding Project,60,47,0,13,100.0,27.66,100.0,78.33,100.0,87.85
grok-3,technova_launch,TechNova Product Launch,68,3,TechNova Smart Home Device Launch Campaign,68,68,0,0,100.0,0.0,100.0,100.0,100.0,100.0
grok-3,greenscape_report,GreenScape Sustainability Report,66,4,GreenScape Sustainability Report Development,66,66,0,0,100.0,0.0,100.0,100.0,100.0,100.0
grok-3,urbanedge_strategy,UrbanEdge Social Media Strategy,37,5,UrbanEdge Social Media Strategy and Market Expansion Research,37,37,0,0,100.0,0.0,100.0,100.0,100.0,100.0
grok-3,q3_content_calendar,Q3 Content Calendar,25,6,Q3 Content Calendar Development,25,25,0,0,100.0,0.0,100.0,100.0,100.0,100.0
gpt-3.5-turbo,eco_bloom_campaign,EcoBloom Campaign,44,N/A,N/A,0,0,44,0,0.0,-100.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,fitfusion_rebrand,FitFusion Rebranding,47,N/A,N/A,0,0,47,0,0.0,-100.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,technova_launch,TechNova Product Launch,68,N/A,N/A,0,0,68,0,0.0,-100.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,greenscape_report,GreenScape Sustainability Report,66,N/A,N/A,0,0,66,0,0.0,-100.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,urbanedge_strategy,UrbanEdge Social Media Strategy,37,N/A,N/A,0,0,37,0,0.0,-100.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,q3_content_calendar,Q3 Content Calendar,25,N/A,N/A,0,0,25,0,0.0,-100.0,0.0,0.0,0.0,0.0
gpt-4,eco_bloom_campaign,EcoBloom Campaign,44,N/A,N/A,0,0,44,0,0.0,-100.0,0.0,0.0,0.0,0.0
gpt-4,fitfusion_rebrand,FitFusion Rebranding,47,N/A,N/A,0,0,47,0,0.0,-100.0,0.0,0.0,0.0,0.0
gpt-4,technova_launch,TechNova Product Launch,68,N/A,N/A,0,0,68,0,0.0,-100.0,0.0,0.0,0.0,0.0
gpt-4,greenscape_report,GreenScape Sustainability Report,66,N/A,N/A,0,0,66,0,0.0,-100.0,0.0,0.0,0.0,0.0
gpt-4,urbanedge_strategy,UrbanEdge Social Media Strategy,37,N/A,N/A,0,0,37,0,0.0,-100.0,0.0,0.0,0.0,0.0
gpt-4,q3_content_calendar,Q3 Content Calendar,25,N/A,N/A,0,0,25,0,0.0,-100.0,0.0,0.0,0.0,0.0
